コメント,メンバー,ハッシュタグ
行き倒れるなら夢の途中がいい 帰ろうとしながら死にたくはない,#錆びたコンパス,#乃木坂46 #歌詞
力が尽きて気を失い 道の上で息が絶えるならいいさ,#錆びたコンパス,#乃木坂46 #歌詞
トライできたこと誇りに思って 満天の星に何を語る,#錆びたコンパス,#乃木坂46 #歌詞
悔いのない人生なんて どこにも存在しないだろう そう人は誰もみんな やりたかった何かを やり残すものなんだ 絶対,#錆びたコンパス,#乃木坂46 #歌詞
行ったことがない地平線の先よ 努力した涯に何を思う？,#錆びたコンパス,#乃木坂46 #歌詞
逃げ腰になりそうなそんな試練に 誰か味方はいるか仲間は揃ったか,#三番目の風,#乃木坂46 #歌詞
三番目の風になろう 今までとは違う向きに吹き抜けろ まだどこにも見たことのない 新しい空切り拓け,#三番目の風,#乃木坂46 #歌詞
環境に恵まれなくても その不運恨むよりチャンスを待とう 友は信じられるか ずっとそばにいるか,#三番目の風,#乃木坂46 #歌詞
プライベートでも自分がアイドルであるということを ものすごく意識しているから,#山下美月,#乃木坂46 #名言
コンプレックスだって沢山あるけど それに囲まれて縮こまって生きるよりは 自分に対する先入観や固定観念を壊していきたい,#山崎玲奈,#乃木坂46 #名言
厳しい言葉も助言も 全てが私の糧になっていて 自分の未熟さにへこむ事もあるけれど でもたまに褒められるとすごく心に響いて 自信のなさを補強してくれる,#山崎玲奈,#乃木坂46 #名言
自分の人生は自分で考えて進んでいくもの,#山崎玲奈,#乃木坂46 #名言
人間には立ち向かうことと同じくらい 逃げることも必要,#山崎玲奈,#乃木坂46 #名言
今もなおその不器用さは半年くらいでは変わることも無く日々、もっと器用なら今頃こうしてるのかなと思ってしまう事もあるのですが自分に妥協せず頑張って生きていきます,#寺田蘭世,#乃木坂46 #名言
それは、努力をしていれば、きっと私にもいいことがちゃんと起こるって信じるようになったから。だから、しんどいことがあっても、とにかくがんばってみようって,#柴田柚菜,#乃木坂46 #名言
ずっと自分の武器を探していて、それが「歌なのかもしれない」と思い始めているんですけど、まだまだ自信が持てないんです,#柴田柚菜,#乃木坂46 #名言
今までは自分に自信がなくて周囲からも「自信なさそう」と言われていたし、つい自分の悪いところばかり探してしまっていたんです,#柴田柚菜,#乃木坂46 #名言
今回のライブも細かいところを探せばダメな部分はたくさんあったものの、いっぱい褒めていただいたことで「自分のことを認めよう。自分のことを肯定できる人になろう」という目標に少し近づけた気がします,#柴田柚菜,#乃木坂46 #名言
最近、「努力するだけでは自信は付かない」と気づいたんです。努力して結果を残し、褒めてもらったり認めてもらうことでようやく自信ってつくんだな、と,#柴田柚菜,#乃木坂46 #名言
年齢を重ねるごとになかなか乗り越えられない壁も見えてくるようになったし、坂道合同オーディションを受けていた当時が１番自分に自信を持っていた気がするんです,#柴田柚菜,#乃木坂46 #名言
『乃木坂スター誕生！』はチャンスだと考えていましたけど、回数を重ねるごとに歌への自信がなくなってきて,#柴田柚菜,#乃木坂46 #名言
なぜ不安なのか考えると、きっと自分のキャラクターを迷っているからなんだろうなって,#柴田柚菜,#乃木坂46 #名言
乃木坂のメンバーには闘争心というものを表に出さない人が多くて、メンバー自体もすごく仲が良くて、上下関係もないし、それに関して別になんとも思っていない,#若月佑美,#乃木坂46 #名言
ライブを見に来る方たちは、学生だったらお金を貯めて、お仕事がある方は休みを作って来てくださっているわけで、自分たちが楽しむだけじゃなくて「見せる意識」を持たなきゃいけないんです,#秋元真夏,#乃木坂46 #名言
世代が離れてきた分、私の常識が通じるわけではないので、イチから教えないことは不親切だと思うんです,#秋元真夏,#乃木坂46 #名言
妥協じゃないです 方向転換です！,#松村沙友理,#乃木坂46 #名言
そんなに悲しい笑顔で見つめないでよ,#世界で一番孤独なLover,#乃木坂46 #歌詞
